,User,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
0,@BBC,#ArnabGoswami @AJEnglish #ArnabGoswami @BBCBreaking #ArnabGoswami @republic #ArnabGoswami @sudhirchaudhary… https://t.co/RMODSXLyRx,Fri May 22 19:11:19 +0000 2020,0.0,0.0,1.0,0.0,1
1,@BBC,"@OpenUniversity @Dr_Julie_Smith @BBC A lovely simple message, but is it possible that ""toxic productivity"" could be… https://t.co/RrwgRBc25D",Fri May 22 19:08:18 +0000 2020,0.34,0.13,0.87,0.0,2
2,@BBC,@HeatherHarbiso2 @wtvipbsclt @JeffBezos @JSalke @albert_cheng @PrimeVideo @primevideouk @AmazonStudios @RedPlanetTV… https://t.co/ottbFov4OK,Fri May 22 19:08:04 +0000 2020,0.0,0.0,1.0,0.0,3
3,@BBC,"@NevilleSouthall @BBC @M_Star_Online I seem to remember that they used to back in the 60s. I think that ""What the P… https://t.co/WKlx2Av6QX",Fri May 22 19:07:56 +0000 2020,0.0,0.0,1.0,0.0,4
4,@BBC,@AdemilGonzalez @realHeathSmith @ArmyIntelCG @CG_CyberForge @CCDC_Commander @CG_CIMT @CG_ArmyROTC @99TH_CG… https://t.co/l8brVDIy7n,Fri May 22 19:07:32 +0000 2020,0.0,0.0,1.0,0.0,5
5,@BBC,"Mars 2020, el vehículo explorador de la NASA que intentará responder las preguntas más inquietantes sobre Marte… https://t.co/VDOYdfaEKH",Fri May 22 19:07:05 +0000 2020,0.0,0.0,1.0,0.0,6
6,@BBC,"RT @BBC: Piglet rescue! 😭❤️

Roaming In The Wild is streaming now on @bbciplayer.

Via @bbcthesocial.

https://t.co/CTXCTkeqBX",Fri May 22 19:06:30 +0000 2020,0.126,0.14,0.74,0.121,7
7,@BBC,@LBCNews It always was political !! Some woman’s idea about random clapping didn’t take off without a stack or offi… https://t.co/dq5BDzxxWU,Fri May 22 18:59:11 +0000 2020,0.0,0.0,1.0,0.0,8
8,@BBC,"RT @BBCPolitics: #marr this Sunday

@grantshapps &amp; @NickTorfaen

@BBC Director-General Tony Hall

Venki Ramakrishnan, President @royalsocie…",Fri May 22 18:57:58 +0000 2020,0.0,0.0,1.0,0.0,9
9,@BBC,@AdemilGonzalez @realHeathSmith @ArmyIntelCG @CG_CyberForge @CCDC_Commander @CG_CIMT @CG_ArmyROTC @99TH_CG… https://t.co/DRQQ1APPNk,Fri May 22 18:57:08 +0000 2020,0.0,0.0,1.0,0.0,10
10,@BBC,"RT @IpobosisiomaLga: Stop dreaming!, #IPOB will never relent,all of you Yoruba media on Twitter and Facebook bearing Igbo Names,
how do you…",Fri May 22 18:54:32 +0000 2020,-0.3595,0.0,0.894,0.106,11
11,@BBC,"RT @IpobosisiomaLga: The #Nigerianarmy's in Biafraland are #ISIS &amp; #Bokoharram 
Can't you see them?,
@HQNigerianArmy 
@elrufai 
@APC_USA 
@…",Fri May 22 18:51:07 +0000 2020,0.0,0.0,1.0,0.0,12
12,@BBC,"RT @NevilleSouthall: For reasons that have never been quite clear, the @BBC refuses to include the @M_Star_Online on it's newspaper review…",Fri May 22 18:48:32 +0000 2020,-0.3401,0.0,0.893,0.107,13
13,@BBC,"@BBC has a right wing agenda.
@Channel4 has a left wing agenda.
How about just giving unbiased opinions? You're both embarrassing.",Fri May 22 18:47:41 +0000 2020,-0.0772,0.1,0.747,0.154,14
14,@BBC,RT @IpobosisiomaLga: So you think that ipob will ever forget to remember Biafran falling Heroes massacred by the #British / #Nigerian Army…,Fri May 22 18:46:35 +0000 2020,0.2023,0.128,0.736,0.136,15
15,@BBC,"RT @IpobosisiomaLga: The 1st supreme Court governor of
#ImoState, if you wish wash the shoes of your slave masters #FulaniBloodSuckers they…",Fri May 22 18:46:35 +0000 2020,0.743,0.249,0.751,0.0,16
16,@BBC,"RT @IpobosisiomaLga: Aisha Buhari is living with a little
Small boy in Aso-rock claiming that he is Buhari but he can not speak~~mazinnamdi…",Fri May 22 18:46:04 +0000 2020,0.0,0.0,1.0,0.0,17
17,@BBC,"@NevilleSouthall @BBC @M_Star_Online I have the utmost respect for Neville, and what he's doing with his twitter ac… https://t.co/DjBbNsvuIV",Fri May 22 18:44:10 +0000 2020,0.4767,0.147,0.853,0.0,18
18,@BBC,@AJEnglish @IndiaInNepal @INCIndia @IndiaToday @BJP4India @IndiaToday @BBCBreaking @BBC @BBCNews #ArnabGoswami,Fri May 22 18:39:20 +0000 2020,0.0,0.0,1.0,0.0,19
19,@BBC,RT @IykeObedOnuorah: The Lamentation of a Nation under siege and systematic Extermination. @realDonaldTrump @MaziNnamdiKanu @StateDept @Sec…,Fri May 22 18:36:35 +0000 2020,-0.34,0.0,0.862,0.138,20
20,@BBC,@BBCPolitics @grantshapps @NickTorfaen @BBC @royalsociety @AstraZeneca @NickyBenedetti @PippaCrerar @adamfleming… https://t.co/1VDvGRrWWq,Fri May 22 18:34:54 +0000 2020,0.0,0.0,1.0,0.0,21
21,@BBC,@michaelcardo @PresidencyZA @CyrilRamaphosa @CNNPolitics @realDonaldTrump @Reuters @eNCA @carteblanchetv @bbc,Fri May 22 18:27:55 +0000 2020,0.0,0.0,1.0,0.0,22
22,@BBC,"Por qué Bolivia, el país con las mayores reservas de litio en el mundo, tiene tantos problemas para explotar este v… https://t.co/glbJ9eBmhK",Fri May 22 18:25:24 +0000 2020,0.0,0.0,1.0,0.0,23
23,@BBC,"RT @IpobosisiomaLga: Am asking the idiots with Fake accounts, I mean #Yoruba's with Igbo and Biafran Names on Facebook &amp; twitter written ag…",Fri May 22 18:25:17 +0000 2020,-0.4767,0.0,0.876,0.124,24
24,@BBC,El hombre que compró 60.000 pozos viejos de gas y petróleo y se convirtió en un magnate https://t.co/i5W2v3IE9c vía @BBC,Fri May 22 18:25:08 +0000 2020,0.0,0.0,1.0,0.0,25
